,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
7898,201770019001016,52318,850,458,439,21,129,458,601,65,670,439,458,19,20,177,001900,1
7901,200319661002561,26116,1537,656,583,68,332,656,1049,116,1114,583,656,73,20,031,966100,2
7903,481130192113002,24310,1553,601,261,78,396,601,1065,98,1199,261,601,340,48,113,019211,3
7904,60871105012000,15646,830,312,88,63,288,312,331,0,436,88,312,224,06,087,110501,2
7905,291019602002009,23083,963,370,311,18,233,370,605,54,681,311,370,59,29,101,960200,2
7906,290950137031013,20417,2200,1100,497,100,494,1100,1354,249,1476,497,1100,603,29,095,013703,1
7914,290879602002002,23972,1060,544,373,54,168,544,775,106,824,373,544,171,29,087,960200,2
7915,530630011001031,24089,1004,499,380,106,174,499,641,77,677,380,499,119,53,063,001100,1
7916,130670313092012,24737,1141,451,365,33,141,451,849,217,861,365,451,86,13,067,031309,2
7917,290950125023009,22858,1589,692,562,65,399,692,990,186,1081,562,692,130,29,095,012502,3
7934,290950142041015,50805,1950,730,701,192,433,730,1382,144,1423,701,730,29,29,095,014204,1
7937,290950140071102,25710,3128,1276,670,139,765,1276,1764,252,2001,670,1276,606,29,095,014007,1
7938,292134802024085,15022,1419,631,414,58,326,631,819,89,968,414,631,217,29,213,480202,4
7939,80140304001012,29225,1129,313,289,25,350,313,540,57,644,289,313,24,08,014,030400,1
7940,290950102031027,20623,1829,653,492,153,288,653,938,168,1024,492,653,161,29,095,010203,1
7952,200450014001007,39941,2023,735,680,48,478,735,1417,176,1436,680,735,55,20,045,001400,1
7954,290950181002003,31673,1430,465,435,113,414,465,836,208,888,435,465,30,29,095,018100,2
7956,200450012031036,24886,1833,683,477,73,449,683,1101,110,1255,477,683,206,20,045,001203,1
7965,201211005002231,29888,974,350,315,98,267,350,592,76,639,315,350,35,20,121,100500,2
7967,201770041001036,21839,1106,587,256,35,91,587,960,132,1101,256,587,331,20,177,004100,1
7969,290950009004001,14752,630,289,112,22,86,289,467,73,514,112,289,177,29,095,000900,4
7975,201030711021086,19762,943,346,241,87,111,346,933,565,963,241,346,105,20,103,071102,1
7995,201770016012017,78046,748,402,385,49,32,402,660,107,668,385,402,17,20,177,001601,2
7999,311090015003024,22833,1450,684,389,62,322,684,1059,55,1220,389,684,295,31,109,001500,3
8000,202090426002018,20944,176,93,72,0,0,93,149,17,176,72,93,21,20,209,042600,2
8005,290950077001014,14123,598,256,148,40,100,256,447,33,447,148,256,108,29,095,007700,1
8033,550590022001005,21259,830,302,249,54,180,302,506,101,583,249,302,53,55,059,002200,1
8035,170318188002016,25737,995,330,237,95,253,330,649,39,660,237,330,93,17,031,818800,2
8036,200599545003114,26547,957,396,339,45,220,396,574,117,633,339,396,57,20,059,954500,3
8039,290950128042028,27982,1995,760,682,56,450,760,1197,172,1404,682,760,78,29,095,012804,2
8073,202090438021008,22419,427,130,130,36,145,130,203,44,242,130,130,0,20,209,043802,1
8075,201079552004018,16852,792,363,219,15,177,363,483,87,584,219,363,144,20,107,955200,4
8078,290950075003004,17277,536,211,110,129,59,211,314,12,364,110,211,101,29,095,007500,3
8095,121270830072004,24859,1237,463,463,60,377,463,772,120,823,463,463,0,12,127,083007,2
8097,201079552002063,23102,1155,546,479,58,206,546,824,64,887,479,546,67,20,107,955200,2
8100,290470211014007,23521,443,225,172,67,61,225,307,61,317,172,225,53,29,047,021101,4
8109,290130704003221,16888,551,222,167,32,94,222,393,70,409,167,222,55,29,013,070400,3
8111,200599545004111,28850,965,374,361,45,246,374,626,81,639,361,374,13,20,059,954500,4
8112,290950011001013,31453,676,631,33,20,0,631,417,21,592,33,631,598,29,095,001100,1
8115,201770030011000,19368,1507,674,431,67,340,674,939,174,1003,431,674,243,20,177,003001,1
8121,290950072001014,108929,734,308,300,23,128,308,526,22,544,300,308,8,29,095,007200,1
8129,290950110003007,14320,617,292,113,18,97,292,358,43,385,113,292,179,29,095,011000,3
8134,201079552001098,26881,663,302,255,5,113,302,475,100,502,255,302,47,20,107,955200,1
8136,420710101013056,22204,1724,598,562,86,514,598,983,196,1121,562,598,36,42,071,010101,3
8137,200150203001083,32936,2107,1049,911,115,378,1049,1482,312,1566,911,1049,138,20,015,020300,1
8138,200450006031074,31513,2717,1285,762,73,412,1285,1496,180,1837,762,1285,523,20,045,000603,1
8150,60170304024009,16493,1015,526,387,17,142,526,663,120,707,387,526,139,06,017,030402,4
8151,290470219002077,34194,1798,694,675,85,412,694,1245,138,1273,675,694,19,29,047,021900,2
8152,290950139021000,28783,1122,389,307,43,270,389,641,77,711,307,389,82,29,095,013902,1
8153,290959808021026,,0,0,0,0,0,0,0,0,0,0,0,0,29,095,980802,1
8165,471570069003003,9844,1032,325,202,0,101,325,504,76,523,202,325,123,47,157,006900,3
8166,290510107011040,37424,3260,1249,692,188,765,1249,1974,273,2202,692,1249,557,29,051,010701,1
8168,201390105001199,26721,1835,725,698,139,400,725,1152,202,1228,698,725,27,20,139,010500,1
8169,290950137041017,31765,1509,646,542,100,271,646,1091,154,1132,542,646,104,29,095,013704,1
8174,200019528003097,16347,928,460,311,21,160,460,630,130,684,311,460,149,20,001,952800,3
8175,60855077013014,50966,1279,421,319,98,254,421,871,84,917,319,421,102,06,085,507701,3
8176,471570074001013,19140,1436,714,222,131,104,714,567,81,830,222,714,492,47,157,007400,1
8177,280919504001013,31978,719,246,214,14,231,246,459,41,476,214,246,32,28,091,950400,1
8178,60590994163006,31470,2189,971,248,102,522,971,1262,183,1410,248,971,723,06,059,099416,3
8179,90035246002007,26862,628,378,12,12,99,378,181,14,429,12,378,366,09,003,524600,2
8180,320030049202005,13169,2380,825,240,143,791,825,815,72,1139,240,825,585,32,003,004920,2
8181,130510108034014,25700,4939,1710,1426,247,1208,1710,2805,671,3293,1426,1710,284,13,051,010803,4
8183,200410841001157,23858,1406,550,451,89,269,550,952,125,983,451,550,99,20,041,084100,1
8189,371830536081043,28796,2035,718,445,96,675,718,1004,69,1159,445,718,273,37,183,053608,1
8190,81230014102023,33821,945,484,387,43,106,484,708,140,766,387,484,97,08,123,001410,2
