,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
804,040250004012039,29655,2158,1099,833,51,258,1099,1579,271,1664,833,1099,266,04,025,000401,2
805,120860088045019,19317,1611,544,376,61,253,544,1027,0,1105,376,544,168,12,086,008804,5
806,200319662003016,21910,1401,540,430,142,375,540,880,137,926,430,540,110,20,031,966200,3
807,180890415001000,16595,1778,629,294,144,670,629,910,186,980,294,629,335,18,089,041500,1
808,481130199004013,11384,1112,344,181,39,244,344,538,13,694,181,344,163,48,113,019900,4
809,010970067012025,14043,1395,523,375,160,339,523,768,123,901,375,523,148,01,097,006701,2
810,200850826005058,22872,693,265,250,67,131,265,462,42,479,250,265,15,20,085,082600,5
811,180350015004023,15145,989,443,269,32,294,443,617,137,668,269,443,174,18,035,001500,4
812,230310240003060,21606,2742,1020,841,308,550,1020,1701,234,1863,841,1020,179,23,031,024000,3
813,290210003002058,23468,1919,878,613,110,317,878,1246,90,1374,613,878,265,29,021,000300,2
814,550250025001065,14247,1366,620,369,61,358,620,729,91,798,369,620,251,55,025,002500,1
815,310550074323001,25087,1316,619,359,21,178,619,773,115,988,359,619,260,31,055,007432,3
816,551050030012017,18332,1151,420,222,110,209,420,733,31,927,222,420,198,55,105,003001,2
817,121270910241057,17543,3720,1236,1053,192,1016,1236,2040,300,2316,1053,1236,183,12,127,091024,1
818,200319661002561,26116,1537,656,583,68,332,656,1049,116,1114,583,656,73,20,031,966100,2
819,171635043543000,26861,1412,697,309,153,361,697,921,187,958,309,697,388,17,163,504354,3
820,290210010003009,14642,917,357,119,75,217,357,433,119,552,119,357,238,29,021,001000,3
821,311090037092009,25548,1039,440,271,32,163,440,640,97,726,271,440,169,31,109,003709,2
822,480990107013003,28296,1650,509,425,86,306,509,964,402,1122,425,509,84,48,099,010701,3
