zip,latitude,longitude,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income
66054,39.201274,-95.19892,200870203002061,23536,1100,465,342,64,245,465,706,79,739,342,465,123
67550,38.179418,-99.12757,201459702004054,12128,1186,491,416,672,93,491,1564,409,1745,416,491,75
65010,38.784123,-92.24395,290190017011077,25160,926,373,323,110,230,373,586,60,624,323,373,50
67037,37.557434,-97.25167,201730098021026,29454,1711,522,492,156,486,522,881,182,1030,492,522,30
83704,43.63123,-116.28716,160010023021002,23174,1138,509,379,122,181,509,693,69,836,379,509,130
64454,39.61222,-94.5929,290499604002004,23619,1568,601,471,130,461,601,935,124,1014,471,601,130
63117,38.628402,-90.32636,291892167004005,22508,882,499,215,71,104,499,936,145,955,215,499,284
63021,38.576253,-90.53117,291892179313012,32025,1362,504,504,93,447,504,881,85,881,504,504,0
96734,21.3949,-157.74528999999995,150030109032007,22918,1950,618,213,192,455,618,1098,192,1225,213,618,405
68957,40.275161,-98.24659,311299600003016,21997,546,242,216,15,108,242,380,40,409,216,242,26
92506,33.943615,-117.37239,060650312002012,20841,744,275,198,65,183,275,429,52,479,198,275,77
30316,33.729506,-84.34087,130890238011010,32211,938,419,380,19,144,419,662,159,723,380,419,39
67425,38.813761,-97.9286,200530866002104,21755,1190,492,445,77,229,492,788,147,866,445,492,47
63366,38.786335,-90.72121,291833117221021,23537,2413,834,684,190,681,834,1405,107,1492,684,834,150
65785,37.703022,-93.80653,290398703004021,17117,1064,518,336,77,188,518,708,83,737,336,518,182
68131,41.264418,-95.96383,310550050001006,19772,839,358,110,29,266,358,374,50,472,110,358,248
64723,38.363183,-94.57551,290130702003067,19106,825,315,288,78,216,315,547,66,557,288,315,27
65775,36.71914500000001,-91.87408,290910908002067,24115,1111,510,376,31,86,510,1163,171,1163,376,510,134
66079,38.542788,-95.1232,200599545002079,26579,985,399,348,72,177,399,703,115,740,348,399,51
67218,37.670092,-97.27953,201730068002002,11061,1477,755,54,93,431,755,541,130,795,54,755,701
64112,39.037605,-94.59537,290950072001014,108929,734,308,300,23,128,308,526,22,544,300,308,8
73034,35.683768,-97.44686,401091081063029,66192,2288,786,774,135,615,786,1516,188,1560,774,786,12
64120,39.125304,-94.53234,290950155002091,21426,564,336,143,47,39,336,369,94,418,143,336,193
65714,37.045593,-93.30563,290430202023036,29380,1433,617,600,59,221,617,1113,255,1127,600,617,17
66617,39.130354,-95.63373,201770033022021,31883,2510,934,898,246,657,934,1691,224,1761,898,934,36
66777,37.777886,-95.93877,202070966001608,24963,1707,823,617,86,212,823,1240,291,1297,617,823,206
90301,33.955913,-118.35868,060376012122004,13391,3389,1060,170,192,1015,1060,1661,104,1924,170,1060,890
51501,41.251631,-95.87447,191550313001003,17944,1436,538,325,146,309,538,710,97,817,325,538,213
64029,39.012404,-94.21156,290950140071102,25710,3128,1276,670,139,765,1276,1764,252,2001,670,1276,606
66016,39.47305,-95.23992,200050816005122,19515,827,346,329,55,206,346,552,55,552,329,346,17
23233,37.62246500000001,-77.61965,510872001221007,35965,1463,506,487,51,376,506,950,90,957,487,506,19
67470,38.891137,-97.51114,201690011002035,29149,1059,353,344,74,234,353,667,94,715,344,353,9
68130,41.240036,-96.18017,310550074491031,36348,1273,558,363,32,236,558,985,142,985,363,558,195
64024,39.340332,-94.22601,290470217023010,15593,799,348,163,36,190,348,448,86,510,163,348,185
18104,40.601996,-75.52104,420770023013019,41734,814,346,315,89,109,346,646,92,646,315,346,31
64671,39.541896,-94.05158,290259502006026,20465,578,235,171,31,165,235,308,80,347,171,235,64
65279,39.014478,-92.53946,290190018032037,34776,966,437,385,26,195,437,699,78,744,385,437,52
66023,39.521275,-95.39413,200050816002044,19311,702,282,232,19,191,282,403,40,465,232,282,50
64158,39.230259,-94.47794,290470213072000,35152,3668,1417,1101,141,1106,1417,2033,164,2241,1101,1417,316
64102,39.093854,-94.60411,290950152001187,36707,1353,987,194,26,80,987,889,62,1327,194,987,793
64503,39.741794,-94.83237,290210018003018,18902,799,316,248,21,149,316,441,74,484,248,316,68
65705,37.007586,-93.61839,291094705004013,16175,510,237,159,3,151,237,304,66,341,159,237,78
66762,37.408511,-94.70414,200379575001106,14952,467,342,94,12,12,342,316,123,365,94,342,248
64082,38.850243,-94.3957,290950181002003,31673,1430,465,435,113,414,465,836,208,888,435,465,30
74120,36.151143,-95.97747,401430023011066,22301,1018,508,140,146,117,508,594,47,640,140,508,368
66605,39.013988,-95.65056,201770030011000,19368,1507,674,431,67,340,674,939,174,1003,431,674,243
72142,34.689349,-92.07792,050850206002057,26605,732,302,248,19,140,302,533,70,547,248,302,54
67208,37.701997,-97.28114,201730010002015,12798,1686,606,334,149,613,606,679,47,825,334,606,272
64429,39.743859,-94.23378,290499601003037,16123,976,334,154,24,283,334,452,101,528,154,334,180
64155,39.276828,-94.57344,290470213063013,27475,2204,741,741,47,786,741,1272,118,1388,741,741,0
27858,35.57921599999999,-77.33836,371470003024002,36379,2272,913,784,139,414,913,1448,279,1570,784,913,129
64739,38.506491,-94.09323,290370612001046,25741,1004,436,349,41,121,436,666,158,734,349,436,87
50010,42.02933,-93.60966,191690009003010,22273,656,296,178,32,145,296,403,63,453,178,296,118
66523,38.611619,-95.83132,201390104002094,20199,1833,720,566,74,409,720,1164,221,1262,566,720,154
65810,37.120301,-93.31461,290770041032020,33028,3928,1397,1240,181,1136,1397,2241,190,2412,1240,1397,157
98019,47.7353,-121.96222,530330324021000,36636,1706,556,556,183,480,556,990,80,1069,556,556,0
73013,35.623805,-97.47909,401091083045021,21101,999,432,242,38,231,432,571,117,719,242,432,190
66610,38.981849,-95.79016,201770036042030,41961,2747,988,848,197,764,988,1973,293,2027,848,988,140
